"S",1003.80,1.80,1.80,"V","V",34.90,35.39,111.57,35.42,111.54,4.20
"S",1005.00,1.80,1.80,"V","V",36.80,35.39,111.57,35.42,111.54,4.20
"S",427.00,1.80,3.70,"V","V",36.20,35.39,111.57,35.42,111.54,4.20
"S",425.80,1.80,3.70,"V","V",34.90,35.39,111.57,35.42,111.54,4.20
"S",1003.80,1.80,3.70,"V","V",40.20,35.39,111.57,35.42,111.54,4.20
"S",1005.00,1.80,3.70,"V","V",40.20,35.39,111.57,35.42,111.54,4.20
"S",427.00,3.70,0.90,"V","V",37.80,35.39,111.57,35.42,111.54,4.20
"S",425.80,3.70,0.90,"V","V",35.00,35.39,111.57,35.42,111.54,4.20
"S",1003.80,3.70,0.90,"V","V",40.10,35.39,111.57,35.42,111.54,4.20
"S",1005.00,3.70,0.90,"V","V",40.00,35.39,111.57,35.42,111.54,4.20
"S",427.00,3.70,1.80,"V","V",39.00,35.39,111.57,35.42,111.54,4.20
"S",425.80,3.70,1.80,"V","V",36.70,35.39,111.57,35.42,111.54,4.20
"S",1003.80,3.70,1.80,"V","V",43.80,35.39,111.57,35.42,111.54,4.20
"S",1005.00,3.70,1.80,"V","V",40.50,35.39,111.57,35.42,111.54,4.20
"S",427.00,3.70,3.70,"V","V",36.20,35.39,111.57,35.42,111.54,4.20
"S",425.80,3.70,3.70,"V","V",35.30,35.39,111.57,35.42,111.54,4.20
"S",1003.80,3.70,3.70,"V","V",40.50,35.39,111.57,35.42,111.54,4.20
"S",1005.00,3.70,3.70,"V","V",39.70,35.39,111.57,35.42,111.54,4.20
"S",427.00,1.80,5.20,"V","V",37.50,34.92,111.35,34.94,111.36,2.00
"S",425.80,1.80,5.20,"V","V",36.00,34.92,111.35,34.94,111.36,2.00
"S",1003.80,1.80,5.20,"V","V",41.10,34.92,111.35,34.94,111.36,2.00
"S",1005.00,1.80,5.20,"V","V",40.00,34.92,111.35,34.94,111.36,2.00
"S",427.00,9.40,5.20,"V","V",41.70,34.92,111.35,34.94,111.36,2.00
"S",425.80,9.40,5.20,"V","V",40.50,34.92,111.35,34.94,111.36,2.00
"S",1003.80,9.40,5.20,"V","V",38.60,34.92,111.35,34.94,111.36,2.00
"S",1005.00,9.40,5.20,"V","V",37.30,34.92,111.35,34.94,111.36,2.00
"S",427.00,1.80,5.20,"V","V",32.00,34.93,111.35,34.94,111.36,0.90
"S",425.80,1.80,5.20,"V","V",29.90,34.93,111.35,34.94,111.36,0.90
"S",1003.80,1.80,5.20,"V","V",41.40,34.93,111.35,34.94,111.36,0.90
